Key	Catalogus Nr.
PINHD-1X6:DO_NOT_PLACE_CNHDR036M3-1/1x6	DO_NOT_PLACE_CNHDR036M3-1/1X6
DO_NOT_PLACE_FM93C66	DO_NOT_PLACE_YICME256X16
LED3X1.5MM:DO_NOT_PLACE	DO_NOT_PLACE_YDIL3R
R-EU_R0603:DO_NOT_PLACE_270E	DO_NOT_PLACE_YRES270E-1
C-EUC0805K:DO_NOT_PLACE_100N/100V	DO_NOT_PLACE_YCAM100N-6
SAMTEC_SSW106-22-F-D	CNHDR012F1
MAX3221CAE	FARNELL-1053617
74AVCH1T45DCK	FARNELL-1601163
R-EU_R0603:1K5	YRES1K5-1
R-EU_R0603:1K8	YRES1K8-1
SAMTEC-TW10	CNHDR020M1-3
XILINX_VQG44	YICMAXC2C64
VIP_MAX_IO_X	BRD081107
WU-B-D-3102-3200-RR	DIL3R-2
JP2Q:	CNHDR064M3-1
XILINXJTAGHD:	CNHDR036M3-1
MODULARJACK_6C6P	CNRJ11F1-1
WU-B-D-3102-3200-GG	DIL3G-2
R-EU_R0805:100K	YRES100K-2
C_X1/440V/10NF	CAC10N
R-EU_R1206:1K	YRES1K
MOLEX_43860-0004	CNRJ45F1-10
PHOENIX_FFKDS_END	CNTRB001-S
PHOENIX_FFKDS:	CNTRB001-TRB
MOUNT-PAD-ROUND0.8	DO_NOT_PLACE
RCLAMP0502BSC75_SEMTECH	YDITCLAMP0502
C-EUC0805:100P	YCAM100P-2
PHOENIX_FFKDS_END:	CNTRB001-S
40PINS_FPC-CONNECTOR	CNFPC040F1
DFL1502S	YDIB140V1500MA
SHT11	YICSHT11
LED3X1.5MM:	YDIL3R
WURTH_WE-LAN:	YTFM10-100A
YCOLFB120E:	YCOLFB120E
R-EU_R0805:75E	YRES75E-2
TFC_X_STREAM_PCB:	BRD090112_R?
74LVC1G123DCTPVS	YICT74LVC1G123
DIN41612-F48-MALE	CNDIN048M2
EUROKAART_(IEC60927-3)	DO-NOT-PLACE
SD-CARD(19-PINS)	30-0204
TP	DO-NOT-PLACE
ML10	CNFLC010M1
DIN41612-F48-FEMALE	CNDIN048F1-1
MOUNT-PAD-ROUND	DO-NOT-PLACE
R-EU_R0603:2K7	YRES2k7-1
R-EU_R0603:560E	YRES560E-1
POLYFUSE_1812L110/33	YFUSSMDC0110
SPTA_1/11-3.5:	CNTRB011-2
SPTA-3:	CNTRB003-2
ELCO_100V/470µ_16X31.5_7.5_LL	CAER470U-2
74HC594D	YICT74HC594
R-EU_R0603:390E	YRES390E-1
R-US_R0805:1K5	YRES1K5-2
TPPAD1-13	NOT PLACED
F09D:5-747905-2	CNSUD009F1-1
F09D:5-747905-2	CNSUD009F1-1
F09D:5-747905-2	s
F09D:5-747905-2	qqsdf
F09D:5-747905-2	a
F09D:5-747905-2	d
CPOL-EUE25-10AXIAL:22u/63V	old stock
CPOL-EUE25-9AXIAL:470u/10V	old stock
74456233	YCOL330U
LM2574N-3.3	YICRLM2574-3V3
MF-SM150/33	YFUS1500MA
SMCJ30A	YDITSMJC30A
DIP04YL:	SWI50
W237-03P:	CNTRB003
THS7316	YICL7316
DG2742DQ	YICS2742
W237-05P:	CNTRB005
CPOL-EUE5-10.5:470u/35V	CAER470U-1
CON_EDGE22	CNEDGE44
1N5819	DIO1N5819
SJ2W:	NOT PLACED
SJ:	NOT PLACED
CPOL-EUE2.5-7:22u/63V	CAER22U
KBL:KBL403	DIB200C4000
IMX31_JTAG:DO_NOT_PLACE_CNHDR064M3-1/2x10	DO_NOT_PLACE_CNHDR064M3-1/2x10
YCOLFB120E:BLM21BB121SN1	YCOLFB120E
LED3X1.5MM:Red	YDIL3R
WURTH_WE-LAN:WE-749010011	YTFM10-100A
LM73C-0	YICSLM73
IMX31_JTAG	DO_NOT_PLACE_CNHDR064M3-1/2x10
WURTH_WE-LAN	YTFM10-100A
YCOLFB120E	YCOLFB120E Farnell 1515624
ADM809S	YICSADM809
CNHDR036M3-1/1x2	CNHDR036M3-1/1x2
MOUNT-PAD-ROUND3.3	DO_NOT_PLACE
WURTH_615004144121	CNRJ12F1-2
CMKT_1U/100V	CAM1U
WURTH_WE-LANOK	YTFM10-100A
GND-PIN	CN001M1
TXS0102	YICRTXS0102
0-5787834-2	CNUSB04F2
R-US_R1206:2K2	YRES2K2
R-US_R1206:150E	YRES150E
CPOL-EUE35-14AXIAL:470u/63V	CAEA470U-2
FRAME_TRAFICON_A4	BRD040922/3
FT232RL	YICLFT232
MKDSN1,5/8-5,00	CNTRB008
NEB21R_2	CNPWR002M4-1
SN65176AD	Farnell: 9589970
SN65176BD	YICL65176
WU-2311-GGGG	DIL3G-4
WU-2311-R	DIL3R-4
C-EUC1206:100n	YCAM100n
742792063	YCOLFB60E
MKDSN1,5/5-5,00	CNTRB005
GSOT05C	YDITGSOT05
BS170F	YTRSBS170
R-US_R1206:330E	YRES330E
R-US_R1206:5K6	YRES5K6
BRD061231	BRD061231/2
MSTB2	CNTRM002F-5
MSTBA2.5_2_G_5.00	CNTRM002M-4
MSTBA2.5_5_G_5.00	CNTRM005M-3
MSTB5	CNTRM005F-2
RJ45-90°	CNRJ45F
SAMTEC_TMS-119	CNHDR019M1-1
HFJV1-2450	CNRJ45F1-3
MICROMATCH-6	CNFLC006F1
MOUNT-PAD-ROUND1.0	CNHARP10
WURTH_69140170008	CNTRB008-3
TPPAD1-13Y	DO-NOT-PLACE
WURTH_WE-LAN_749020010	YTFM10-100D-1
MVSTBW_2,5/_5-ST	CNTRM005F-2
MVSTBW_2,5/_2-ST	CNTRM002F-2
C-EUC0805:10uF	YCAM10U-1
OV7211	YICSCMOV7211
SRDA3.3-6	YICSPSRDA33
PINHD-1X9:	CNHDR036M3-1
Not Placed	CNRJ45F1-10
C-EUC1812:2n2	YCAM2N2-3
C-EUC0603:100n	YCAM100N-3
SAMTEC-TW-20-04-L-D-120-100	CNHDR020M2
R-EU_R0603:10k	YRES10k-1
600E	YCOLFB600E
SPST_C&K	RS: 102-383 Farnell:947-1677
SPDT_C&K	Farnell 1201430
LSP13	DO_NOT_PLACE
TYCO-AMPMODU-3P	CNPWR003M5
TYCO-AMPMODU-8P	CNPWR008M5
R-EU_R0603:1K69	YRES1K69-1
C-EUC0603:100PF	YCAM100P-1
C-EUC0603:330PF	YCAM330P-1
C-EUC0603:560PF	YCAM560P-1
MBRS240LT3	YDIOMBRS240
C-EUC0603:220PF	YCAM220P-1
YCAT47U:47U	YCAT47U-2
LM5575	YICRLM5575
WURTH_WE-PD_7447715220	YCOL22U
B3B-XH-A	CNXH003M1
B8B-XH-A(JST)	CNXH008M1
MH_3.25MM	DO_NOT_PLACE
C-EUC1206:4N7	YCAM4N7
47U/6V3	YCAT47U-3
160V/100U	CAER100U-3
AT24C02B	YICME256X8-1
TPS3823-33	YICSTPS3823-3V3
68U/16V	YCAT68U-2
10U/16V	YCAT10U-1
2U2/100V/X7R	YCAM2U2
NETTIE	DO_NOT_PLACE
1-1478031-0	CNBNCF3-3
PINHD-1X4:B4B-XH-A (LF)(SN)	Farnell 1516278
DIN41612-C64-MALE	Farnell 1122925
GMSTBV2	CNTRM002M-2
MIC24013	CNRJ45F1-7
P101:PT65-301	Farnell 1082483
USB_B_90°	CNUSB04F3
P103:PT65-303	Farnell 1082484
LM1086CT-3.3	RS 533-9448
